Unique_id,Links,Name,Ratings,Price_for_one,Cuisine1,cuisine 2,cuisine 3,cuisine 4,cusine 5,cusine 6,cusine 7,cusine 8,Links2,Address,latitude,longitude,category,Dishes,Dishes2,Dishes3,Dishes4,Dishes5,Dishes6,Dishes7,Dishes8,Dishes9,Dishes10,Dishes11,Dishes12,Dishes13,Dishes14,Dishes15,Dishes16,Dishes17,Dishes18,Dishes19,Dishes20,Prices,Prices2,Prices3,Prices4,Prices5,Prices6,Prices7,Prices8,Prices9,Prices10,Prices11,Prices12,Prices13,Prices14,Prices15,Prices16,Prices17,Prices18,Prices19,Prices20,AVG_of_prices,Reviews
112,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-seshadripuram-bangalore/order,Biryani Trip - Destination Hyderabad,4.3,100,Biryani, Mughlai, Hyderabadi,,,,,,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-seshadripuram-bangalore/order,Seshadripuram,12.98681,77.579384,"  Recommended (29), Pastries (9), Jar Cake (8)  ", Choco Truffle Cake, Choco Vanilla Cake, Butterscotch Cake, Choco Crunch KitKat Cake, Choco Truffle Pastry, Marble Cake, Pineapple Pastry, Choco Mud Jar Cake, Kit Kat Pastry, Snicker Chocolate Cake, Opera Pastry, German Black Forest Cake, Black Forest Cake, Chocolate Hazelnut Caramel Jar Cake, Chocolate Jar Cake, Blueberry Bake Cheesecake Slice, New York Bake Cheesecake Slice, Red Velvet & Chocolate Mini Jar Cake Combo, Fresh Fruit Cake, Red Velvet Pastry,499,469,579,99,499,89,109,99,599,109,479,449,159,109,145,145,210,599,99,89,281.65,174
114,https://www.zomato.com/bangalore/ts-21-spice-biryani-indiranagar-bangalore/order,TÃ¢â‚¬â„¢s 21 Spice Biryani,4,100,Biryani, Andhra,,,,,,,https://www.zomato.com/bangalore/ts-21-spice-biryani-indiranagar-bangalore/order,Vijay Nagar,12.96906077,77.54433732,"  Recommended (19), Biryani Bowls (4), Biryani & Rice (11)  ", Boneless chicken biryani bowl (Serves 1), Pepper chicken biryani bowl (Serves 1), Boneless Chicken Biryani (650 gms), Exotic Paneer biryani bowl (Serves 1), Egg Biryani (650 gms), Chicken Dum Biryani (650 gms), Pepper Paneer Biryani (650 gms), Exotic Paneer Biryani (650 gms), Kebab Biryani (650 gms), Pepper Mushroom biryani bowl (Serves 1), Chicken Kebab Boneless (Half), Pepper Mushroom Biryani (650 gms), Pepper Chicken Fry Boneless, Neruppu Chicken 21 Boneless, Potato Dum Biryani (650 gms), Mushroom Pepper Fry, Coke Zero Can 330ml, Pepsi Can (330ml), Pepper Paneer Fry, Biryani Bowls,219,289,219,219,295,275,289,285,219,149,259,249,249,239,219,57.15,57.15,219,219,219,222.22,"5,528"
115,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order,New Shanthi Sagar,4,100,North Indian, Street Food, Fast Food, South Indian, Chinese, Ice Cream, Shake,,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order,Church Street,12.975156,77.604557,"  Recommended (7), Soup & Starter (18),    ", Gobi Manchurian, Paneer Chilli, Baby Corn Manchurian, Paneer Manchurian, Mushroom Chilli, Sweet Corn (Veg) Soup, Tomato Soup, Soup & Starter, Manchow Veg Soup, Tomato Soup, Sweet Corn Soup, Veg Clear Soup, Mushroom Soup, Sweet Corn (Veg) Soup, Hot & Sour Soup, Gobi Manchurian, Aloo Chilli, Veg Spring Roll, Baby Corn Chilli, Baby Corn Manchurian,220,205,220,220,90,80,105,80,85,85,90,90,95,143,185,185,205,205,195,220,150.15,"1,154"
117,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order,New Udupi Grand,3.8,100,South Indian, North Indian, Street Food, Beverages, Chinese, Shake,,,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order,Rajajinagar,12.99672815,77.55417634,  Desserts (3), Payasa (Kheer), Gulab Jamoon (1 Piece), Gulab Jamoon (2 Pieces), , ,,,,,,,,,,,,,,,,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,"10,300"
118,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order,Sagar Hotel,4.2,100,North Indian, Chinese, Street Food, Fast Food, South Indian, Juices, Beverages,,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order,Malleshwaram,12.99397776,77.57151548,"  Recommended (26), Pizza (2), Sandwiches (7)  ", Special Mango Shake, Butter Pav Bhaji, Bhel Puri, Butter Vada Pav, Grilled Sandwich, Jalebi, Sev Aloo Puri, Butter Kutchi Dabeli, Masala Puri, Veg Spring Roll, Khaman Dhokla, Fafda [250 grams], Fresh Strawberry Shake, Cheese Pav Bhaji, Watermelon juice, Special Mini Cheese Pizza [4 inches], Banana Milkshake, Dahi Aloo Puri, Samosa Ragda, Rose Milk Shake,160,100,60,170,145,100,60,100,160,90,145,210,190,90,120,120,110,80,160,25,119.75,"6,772"
119,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rajajinagar-bangalore/order,Kolkata Famous Kati Rolls,3.9,100,Rolls,,,,,,,,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rajajinagar-bangalore/order,Rajajinagar,12.993476,77.548878, Shorba (8) Singh Da Tandoor (35),Chicken Fried Rice, Paneer Butter Masala, Gulab Jamun (2 pieces), Rara Chicken, Butter Naan, Dal Tadka, Chicken Hakka Noodles, Jeera Rice, Egg Fried Rice, Aloo Parantha With Curd, Plain Rice, Kadai Mushroom, Paneer Fried Rice, Kadai Wala Paneer, Butter Kulcha, Shahi Paneer, Paneer Tikka Masala, Chana Masala, Kadai Wala Chicken, Rajma Masala,125,130,60,129,35,100,125,75,109,70,60,120,115,130,40,130,130,100,125,100,100.4,"7,590"
121,https://www.zomato.com/bangalore/meghduth-biryanis-jayanagar-bangalore/order,Meghduth Biryanis,3.7,200,Biryani, South Indian,,,,,,,https://www.zomato.com/bangalore/meghduth-biryanis-jayanagar-bangalore/order,JP Nagar,12.91392821,77.58600812,"  Recommended (13), Meghduth Special Starters (17), Vegetable Biryanis & Pulaos (1)  ", Chicken Fried Piece Biryani, Bhimavaram Kodi Pulao, Veg Dum Biryani, Konaseema Kodi Pulao [ Spicy ," Dragons Chicken""""""""", Chicken 65, Chilli Chicken, Gongura Kodi Pulao, Kottimeera Kodi, Kodi Chips, Chilli Egg, Gobi 65, Chilli Gobi, Meghduth Special Starters, Chilli Gobi, Veg Manchuriya, Gobi Manchuriya, Gobi 65, Mauwa Veg, Hot & Sour Chicken,349,299,349,299,299,299,349,299,299,299,229,229,229,229,229,229,249,299,299,299,283,"12,900"
122,https://www.zomato.com/bangalore/sai-prasadam-vijay-nagar-bangalore/order,Sai Prasadam,4.1,200,North Indian, South Indian, Street Food, Chinese,,,,,https://www.zomato.com/bangalore/sai-prasadam-vijay-nagar-bangalore/order,Langford Town,12.961168,77.598239,"  Recommended (6), All Day Breakfast (11), Dessert (1)  ", Kesari Bath, Chapati with Aloo Palya, Idli Sambar, Gulab Jamun [2 Pieces], Chapathi with Curry, Parata Kurma, All Day Breakfast, Idli Sambar, Vada Sambar, Idli Vada Sambar, Kesari Bath, Rava Idli, Chapati with Aloo Palya, Chapathi with Curry, Parata Kurma, Rava Idli with Vada, Maddur Vada, Bonda Soup, Dessert, Gulab Jamun [2 Pieces]],80,39,60,80,80,39,40,80,39,49,80,80,80,65,39,55,60,0,0,0,61.47,211
123,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/order,Chowman,4,200,Chinese, Asian, Thai, Oriental, Seafood, Sichuan, Beverages, Desserts,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/order,Frazer Town,12.99958665,77.61595398,"  Recommended (36), Meal For One (2), Soups (26)  ", Crispy Baby Corn With Honey, Chilli Garlic Noodles Veg, Schezwan Hakka Noodles, Special Non-Veg Combo, Shanghai Noodles, Chilli Garlic Noodles, Chicken Momo (8 Pcs), Chilli Chicken (12 Pcs), Drums Of Heaven (Thai Style) (8 Pcs), Wok Tossed Hakka Noodles Veg, Egg White Fried Rice, Manchow Soup Veg, Chilli Paneer, Schezwan Hakka Noodles Veg, Seafood Fried Rice, Wok Tossed Hakka Noodles, Paneer Manchurian, Shanghai Noodles Veg, Veg Spring Roll (6 Pcs), Honey Chicken (12 Pcs),180,190,269,200,190,185,290,275,180,210,170,235,180,265,190,245,180,210,300,195,216.95,"5,717"
125,https://www.zomato.com/bangalore/szechuan-dragon-banashankari/order,Szechuan Dragon,4.1,200,Chinese, Asian, Thai, Momos,,,,,https://www.zomato.com/bangalore/szechuan-dragon-banashankari/order,Koramangala,12.935099,77.613337,"  Recommended (35), Soups (25), Starters (95)  ", Chicken Noodles, Mixed Fried Rice, Veg. Szechuan Noodles, Chicken Lollipop (5 Pcs), Chicken Fried Rice, Mixed Noodles, Veg. Chilli Garlic Noodles, Veg. Lee Fu Fried Rice, Veg. Butter Garlic Noodles, Veg. Szechuan Fried Rice, Gobi Manchurian, Paneer Chilli, Paneer Fried Rice, Chicken Szechuan Fried Rice, Chicken Szechuan Noodles, Veg. Hakka Noodles, Egg Fried Rice, Chicken Chilli, Dragon Paneer, Spicy Curd Chicken,215,185,199,195,215,185,185,185,185,175,195,190,210,205,175,185,199,195,220,215,195.65,615
126,https://www.zomato.com/chettyscorner/order,Chetty's Corner,4,200,Fast Food, Sandwich, Pizza, Burger, Street Food, Beverages,,,https://www.zomato.com/chettyscorner/order,Jeevan Bhima Nagar,12.967889,77.652837,"  Recommended (5), Burgers And Sandwiches (58), Twistato (12)  "," Chettys Masala Twistato""""""""", Bun Nippat & Cheese, Bun Nippat & Butter, Bun Nippat Masala, Peri Peri Twistato, Burgers And Sandwiches, Bun Masala, Bun Butter Masala, Bun Cheese Masala, Bun Nippat Masala, Bun Butter Nut, Bun Cheese Nut, Bun Nippat & Butter, Bun Nippat & Cheese, Regular Veggie Bun, Special Veggie Bun, Veggie Bun Butter, Veggie Bun Cheese, Veggie Bun Nippat, Veggie Bun Nip & Butter,80,80,65,99,60,65,65,65,80,80,80,80,70,70,85,85,85,95,95,75,77.95,"3,943"
127,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore/order,Biggies Burger,4.1,200,Fast Food, Burger, Beverages,,,,,,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore/order,Langford Town,12.961168,77.598239,"  Recommended (11), Bigg Juicy Burgers (7), Vegetarian Burgers (14)  ", The Original Chicken Burger, American Cheese Chicken Burger, Potato Krunch Burger, Bigg Aloo Tikki Burger, Veg Meal Box, Peri Peri Paneer Wrap, Halloween Shake, Bigg Club Veg Burger, Classic Veg Combo, Peri Peri Crinkle Fries Regular, Peri Peri Veg Burger, Bigg Juicy Burgers, Chicken Cheese Fillet Burger, Smoked Whole Meat Burger, The Original Chicken Burger, The Original Lamb Burger, The Original Spicy Chicken Burger, Krunch Beam Chicken., Crispy Double Chicken Burger, Vegetarian Burgers,189,59,139,319,179,179,159,129,119,89,269,299,269,369,289,229,179,219,219,209,205.5,54
128,https://www.zomato.com/bangalore/kolkata-no-1-kati-rolls-rajajinagar-bangalore/order,Kolkata No. 1 Kati Rolls,3.9,200,Rolls,,,,,,,,https://www.zomato.com/bangalore/kolkata-no-1-kati-rolls-rajajinagar-bangalore/order,Rajajinagar,12.99349131,77.5490037, Dum Special (3) Rice (4),Chicken Dum Biryani, Chilli Chicken Biryani, Chicken Fried Rice, Chicken Manchurian, Chicken Kalmi Kebab, Veg Biryani, Babycorn Biryani, Lemon Chicken, Chicken Dum Biryani With Chicken Kebab Combo, Egg Omelette, Curd Rice, Egg Chilly, Chicken Masala, Mixed Non Veg Fried Rice, Sehezwan Chicken, Dragon Chicken, Crispy Baby Corn, Gobi 65, Boiled Egg, Roti,149,199,189,179,140,139,149,209,349,59,139,109,219,219,209,209,189,179,75,18,166.3,13
129,https://www.zomato.com/bangalore/kabab-king-kumaraswamy-layout-bangalore/order,Kabab King,3.4,200,North Indian, Chinese, Juices, Shake,,,,,https://www.zomato.com/bangalore/kabab-king-kumaraswamy-layout-bangalore/order,Indiranagar,12.978123,77.638278,"  Todays Exclusive Dishes (3), Recommended (31), Combos (18)  ", Iftar Ghee Rice Meal, Andhra Chicken Curry, Chicken Roll, Recommended, Double Egg Chicken Fried Rice, Chicken Fried Rice Combo, Chicken Fried Rice, Double Egg Chicken Noodles, Chicken Roll, Kabab King Special Chicken Sixer, Special Chicken Cheese Plate Shawarma, Egg Fried Rice, Chicken 65, Fresh Lime Juice, Double Egg Fried Rice, Chicken Noodles, Chicken Manchurian, Veg Noodles, Omelette, Lemon Chicken,155,105,140,185,130,145,105,185,210,99,155,40,109,135,150,90,50,185,155,115,132.15,958
130,https://www.zomato.com/bangalore/momoz-rt-nagar-bangalore/order,Momoz,4,200,Chinese, Momos, Sichuan,,,,,,https://www.zomato.com/bangalore/momoz-rt-nagar-bangalore/order,BTM,12.9311877,77.6081314,"  Recommended (30), Customize Your Rates ! (21), Momos (12)  ", Chicken Noodles, Chickem Steam Momo, Chicken Fried Rice, Chicken Manchow Soup, Chicken Schezwan Noodles, Chicken Cheese Fried Momo, Chicken Cheese Fried Momos, Chicken Fried Momo, Dragon Paneer, Crispy Corn, Chicken Hakka Noodles, Chicken Cheese Momos, Chilli Chicken Gravy, Chilli Mushroom, Momoz Special Chicken Rice, Chicken Lolipop - Starter, Egg Noodles, Veg Ginger Garlic Rice, Veg Ginger Garlic Noodles, Chicken Chilli Garlic Noodles,135,230,160,230,130,230,125,249,249,230,220,270,249,240,99,230,220,220,148,280,207.2,"11,800"
131,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order,Sardarji Londonwaley,3.7,200,North Indian, Chinese, Mughlai,,,,,,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order,Koramangala,12.93621961,77.61553992,"  Recommended (12), Biryani Family Pack (Save upto Rs 150/-) (8), Hyderabadi Biryanis (10)  ", Special Chicken Boneless Biryani Family Pack (serves 3-4), Special Chicken Biryani Dessert Combo, Ghee Gulab Jamun (2 Pcs), Chicken Tikka Masala Biryani, Veg Biryani, Mango Lassi, Ghee Gulab Jamun - 4 Pcs, Dry Fruit Lassi, Boneless Kebab Biryani, Chicken Tikka Masala Bagara Biryani, Butter Chicken Bagara Biryani Family Pack (serves 3-4), Rabdi, Biryani Family Pack (Save upto Rs 150/-), Butter Paneer Biryani Family Pack (serves 3-4), Special Chicken Boneless Biryani Family Pack (serves 3-4), Chicken Tikka Masala Biryani Family Pack (serves 3-4), Butter Chicken Biryani Family Pack (serves 3-4), Guntur Chicken Biryani Family Pack (Serves 3-4), Butter Paneer Bagara Biryani Family Pack (serves 3-4), Butter Chicken Bagara Biryani Family Pack (serves 3-4),469,59,349,279,75,99,79,329,349,960,49,860,960,960,960,960,860,960,960,279,542.75,"35,500"
132,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order,GOPIZZA,4.1,300,Pizza, Fast Food,,,,,,,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order,Banaswadi,13.0009569,77.6325712,"Appetizer (8), Korean Starters (3), Pizza (30)", Veggie Finger Strips, Peri peri fries, Herbed Potato wedges, Cheese Garlic Bread, Garlic Bread, Chilli Garlic Potato Pops, French Fries, Chicken Popcorn, Korean Starters, Korean Yangnyum Spicy Wedges, Korean Yangnyum Spicy Chicken Pops, Korean Yangnyum Spicy Chicken Wings (4 Pices), Pizza, Tandoori Paener Pizza, Peri Peri Paneer Pizza, Paneer Makhni Pizza, Garden veggie pizza, Veggie Paradise, Margherita Pizza, Barbecue Veg Pizza,120,120,130,230,155,120,110,140,175,199,385,355,335,330,245,215,140,295,385,265,222.45,99
134,https://www.zomato.com/bangalore/rolls-kitchen-rajajinagar/order,Rolls Kitchen,4.1,300,Fast Food, Rolls, Beverages, Chinese,,,,,https://www.zomato.com/bangalore/rolls-kitchen-rajajinagar/order,Rajajinagar,12.99751155,77.55008362,"Rolls (30), Pasta (4), Burgers and Sandwiches (26)", Kitchen Veg Special Roll, Kitchen Chicken Special Roll, Aloo Tikki Roll, Cheese Roll, Mixed Veg Roll, Baby Corn Roll, Mushroom Roll, Tawa Paneer Roll, Aloo Paneer Roll, Chilli Paneer Roll, Tawa Fried Chicken Roll, Chicken Kathi Roll, Spicy Chicken Roll, Chicken Tikka Roll, Chicken Hariyali Roll, Chicken Garlic Roll, Pepper Chicken Roll, Egg Roll, Egg and Veg Roll, Egg and Cheese Roll,130,150,70,80,80,90,100,100,100,110,100,110,130,130,130,130,130,60,90,90,105.5,"5,115"
135,https://www.zomato.com/bangalore/big-bowl-company-hosur-road-bangalore/order,Big Bowl Company,3.7,300,North Indian, Chinese, Biryani, Fast Food, Momos, Sichuan,,,https://www.zomato.com/bangalore/big-bowl-company-hosur-road-bangalore/order,Seshadripuram,12.98893393,77.57782403,"  Recommended (35), Combos (2), Rolls powered by Rolls & Bowls Company (22)  ", Veg Chilli Garlic Noodles Bowl, Smoky Butter Chicken Rice Bowl, Kung Pao Chicken with Choice of Rice Bowl, Spicy Butter Chicken Rice Bowl, Pindi Chole Rice Bowl, Chilli Chicken with Choice of Rice Bowl, Paneer Kadai Rice Bowl, Veg Manchurian with Choice of Rice Bowl, Chicken Chilli Garlic Noodles Bowl, Schezwan Chicken with Choice of Noodles Bowl, Chicken Manchurian with Choice of Noodles Bowl, Chicken Hakka Noodles Bowl, Chicken Fried Rice Bowl, Schezwan Paneer with Choice of Noodles Bowl, Chilli Paneer with Choice of Rice Bowl, Chicken Manchurian Dry, Chilli Paneer with Choice of Noodles Bowl, Chilli Chicken, Egg Fried Rice Bowl, Choco Lava,309,305,319,249,305,279,265,265,305,305,235,220,295,295,269,295,289,210,99,255,268.4,684
136,https://www.zomato.com/bangalore/just-bake-seshadripuram/order,Just Bake,4.1,300,Bakery, Desserts, Street Food,,,,,,https://www.zomato.com/bangalore/just-bake-seshadripuram/order,Seshadripuram,12.98850726,77.57725105, Combos (8) Breads (1),Bisi Bele Bath, Masala Dosa with Single Idli & Vada, Idli [2 Pieces], Masala Dosa, Veg Pulao, Vada [1 Piece], Butter Masala Dosa, Akki Roti with Ragi Dosa & Kesari Bath, Set Dosa, 1 Akki Roti, Masala Dosa with Vada & Kesari Bath, Mangalore Bun [2 Pieces], Combos, Rava Idli with Khara Bath & Kesari Bath, Single Idli with Vada & Kesari Bath, Masala Dosa with Vada & Kesari Bath, Akki Roti with Ragi Dosa & Kesari Bath, Masala Dosa with Single Idli & Vada, Rice Bath with Vada, 1 Akki Roti with 1 Ragi Dosa,53,98,32,58,53,28,78,110,55,50,105,50,98,78,105,110,98,75,95,65,74.7,"11,900"
137,https://www.zomato.com/bangalore/donne-biryani-mane-koramangala-4th-block-bangalore/order,Donne Biryani Mane,4.1,300,Biryani, South Indian,,,,,,,https://www.zomato.com/bangalore/donne-biryani-mane-koramangala-4th-block-bangalore/order,Frazer Town,12.99708032,77.60389309,"  Recommended (11), Starters (6), Combos (3)  ", Donne Chicken Biryani, Pepper Chicken Biryani, Donne Egg Biryani Combo, Donne Egg Biryani, Donne Chicken Biryani Combo, Biryani Rice, Kshatriya Kebab, Donne Kshatriya Kebab Biryani, Egg Biryani + Pepper Chicken [3piece], Chicken Lollipop [5pcs], Maratha Chilli Chicken, Starters, Boiled Egg, Chicken Lollipop [5pcs], Chilli Chicken., Kshatriya Kebab, Maratha Chilli Chicken, Pepper Chicken, Combos, Donne Chicken Biryani Combo,190,265,145,315,130,180,225,215,195,180,20,195,180,180,180,180,315,265,215,130,195,"3,187"
138,https://www.zomato.com/bangalore/yumlane-pizza-koramangala-5th-block-bangalore/order,Yumlane Pizza,4,300,Pizza, Fast Food, Desserts, Beverages,,,,,https://www.zomato.com/bangalore/yumlane-pizza-koramangala-5th-block-bangalore/order,Basaveshwara Nagar,12.98874019,77.54557014,"  Recommended (14), Classic Pizzas (5), Make Your Own Classic Pizza Value Meal (1)  "," 8 Chicken Kheema Do Pyaza Pizza"""""," 8 Meat Eater Pizza"""""," 8 Chicken Peri Peri Pizza"""""," 8 Cheesy Spinach & Corn Pizza"""""," 8 Chicken Sausage Pizza"""""," 8 Chicken Makhani Pizza"""""," 8 Veg Supreme Pizza""""", Berry Poppins, Peach Me, Kunafa with Ice cream, Belgian Dark Chocolate Nuts Brownie, Belgian Chocolate Brownie with Ice cream, Crunchy Caramel Cookie Brownie with Ice cream, Baklava with Ice cream, Classic Pizzas," 8 Cheesy Spinach & Corn Pizza"""""," 8 Chicken Delight Pizza"""""," 8 Veg Supreme Pizza"""""," 8 Chicken Sausage Pizza"""""," 8 Chicken Peri Peri Pizza""""",349,329,299,279,379,309,139,139,199,179,199,199,199,299,369,309,279,329,539,279,280,"24,300"
139,https://www.zomato.com/bangalore/the-bake-feast-indiranagar-bangalore/order,The Bake Feast,4.1,300,Bakery, Desserts,,,,,,,https://www.zomato.com/bangalore/the-bake-feast-indiranagar-bangalore/order,Shanti Nagar,12.961168,77.598239,"  Todays Exclusive Dishes (3), Recommended (10), Cakes (36)  ", Dutch Truffle Heart Shape Cake [500 grams], Belgium Chocolate Cake [500 grams], Dutch Truffle Cake [500 grams], Recommended, Dutch Truffle Cake [500 grams], Eggless Choco Mocha Cake [500 grams], Choco Truffle Cake [1 kg], Black Forest Cake [1 kg], Belgium Chocolate Cake [500 grams], Dutch Truffle Heart Shape Cake [500 grams], Dutch By Chocolate Pastry (150 Gms), Choco Praline Cake [1 kg], Belgium Chocolate Cake [1 kg], Heart Shape Red Velvet Cake [500 grams], Cakes, Dutch Truffle Heart Shape Cake [500 grams], Choco Truffle Heart Shape Cake [500 grams], Chocolate Little Hearts Shape Cake [500 grams], Heart Shape Red Velvet Cake [500 grams], Heart Shaped Choco Chip Cake [500 grams],419,430,430,380,670,660,419,499,100,650,750,500,499,499,499,500,549,389,450,419,485.55,47
140,https://www.zomato.com/bangalore/delicacy-frazer-town/order,Delicacy,3.7,300,Chinese, Thai,,,,,,,https://www.zomato.com/bangalore/delicacy-frazer-town/order,Koramangala,12.93684013,77.62756359,"  Recommended (32), Combos (5), Soups (34)  ", Chilli Chicken Combo [Serves 2], Veg Chilli Garlic Noodles, Non Veg Chilli Garlic Noodles, Non Veg Chilli Garlic Rice, Non Veg Szechwan Rice, Chicken Noodles, Chicken Momos [10 Pieces], Non Veg Szechwan Noodles, Veg Szechwan Noodles, Veg Noodles, Non Veg Dragon Chopsuey, Veg Triple Schezwan with Sauce, Mix Noodles, Non Veg Manchow Noodles, Chicken Thai Curry, Veg Hot and Sour Soup, Gobi Manchurian, Non Veg Singapore Noodles, Non Veg Rice," Veg Ball n Choice of Sauce""""""""",189,199,199,199,199,249,199,189,179,249,219,199,199,309,120,199,199,199,199,199,204.55,"13,200"
141,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order,Savoury Restaurant,4.1,300,Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order,JP Nagar,12.91213344,77.5861818,"  Recommended (39), Platters and Sizzlers (5), Soups and Salads (38)  ", Tandoori Chicken, Kalmi Kebab, Mutton Pepper Fry, Fish Fry, Mutton Biryani, Chicken Biryani, Al-Faham Dajaj, Boneless Butter Chicken Masala, Bahraini Sandwich, Biryani Rice, Fish Tikka, Murgh Angara, Drums of Heaven, Mandhi Laham, Chicken Mayonise Sandwich, Ghee Rice, Egg Biryani, Chicken Kabab, Iffa Dajaj, Mutton Pepper Masala,220,370,380,350,280,320,300,240,150,350,320,330,460,140,140,200,200,350,350,340,289.5,"7,993"
142,https://www.zomato.com/bangalore/7-plates-frazer-town/order,7 Plates,4,300,North Indian, Mughlai, Rolls, Chinese,,,,,https://www.zomato.com/bangalore/7-plates-frazer-town/order,Brigade Road,12.96976388,77.60903087,"  Recommended (10), Starters (38), Main Course (38)  ", Chicken Angara Roll, Chicken Tikka Roll, Chicken Mexican Roll, Chicken Sholay Roll, Chicken Schezwan Fried Rice, Chicken Arabian Roll, Chilli Chicken [Half], Chicken Manchurian Roll, Chicken Tikka Masala, Gobi Manchurian, Starters, Gobi Manchurian, Paneer Manchurian, Masala French Fries, Paneer 65, Chilly Paneer, Paneer Salt n Pepper, Gobi 65, Gobi Chilli Dry, Chicken Kabab [Full],185,197,185,234,197,172,172,418,203,203,271,185,271,265,259,197,197,245,172,172,220,956
143,https://www.zomato.com/bangalore/chinese-bae-rt-nagar-bangalore/order,Chinese BAE,3.8,300,Chinese, Seafood, Momos, Sichuan,,,,,https://www.zomato.com/bangalore/chinese-bae-rt-nagar-bangalore/order,Commercial Street,12.98257,77.6098,"  Recommended (30), Create Your Quantities (14), Soups (14)  ", Chicken Schezwan Noodles, Chilly Chicken+ Veg Fried Rice + Chicken Lollipop, Veg Fried Rice With Chilli Paneer And Veg Cheese Fried Momos [2 Pieces], Chicken Szechwan Fried Rice, Chilli Chicken With Veg Hakka Noodles And Chicken Cheese Fried Momos [2 Pieces], Chicken Steamed Momos (8Pcs), Veg Hakka Noodles With Veg Ball Manchurian And Veg Cheese Fried Momos [2 Pieces], Chicken Schezwan Fried Rice, Chicken Steam Momo, Chicken Burnt Garlic Noodles, Chicken Hakka Noodles, Chicken Lolipop - Starter, Double Egg Chilli Garlic Noodles, Double Egg Butter Garlic Noodles, Veg Hakka Noodles, Chicken Cheese Fried Momo, Chicken Momo Manchurian Tossed, Chilli Chicken With Veg Fried Rice And Chicken Cheese Fried Momos [2 Pieces], Veg Hakka Noodles With Chilli Paneer And Veg Cheese Fried Momos [2 Pieces], Chicken Manchurian Lollipop - Starter,249,259,148,259,190,259,240,130,240,240,99,230,230,220,130,130,259,259,99,240,205.5,140
146,https://www.zomato.com/bangalore/antarastriya-rajajinagar-bangalore/order,Antarastriya,3.8,200,Chinese, Fast Food, Mexican, Italian, Beverages, Juices,,,https://www.zomato.com/bangalore/antarastriya-rajajinagar-bangalore/order,Rajajinagar,12.99928447,77.54931651, Special (20) Combos (19),Non Veg Thali, Chicken Bucket Biryani (serves 4 people), Chicken Biryani, Biryani Rice, Chicken kabab(oil fry), Chicken Roll, Veg Thali, Pepper Chicken, Ghee Rice, Hyderabadi Chicken, Chicken Fried Rice, Chicken Noodles, Paneer Butter Masala Combo, Chilli Chicken, Mughlai Chicken, Kalmi Kabab, Mutton Brain Fry, Chicken Kabab with Biryani Rice, Kadai Chicken, Fish Manchurian,200,759,200,100,150,80,140,150,95,150,140,140,150,150,165,160,260,190,150,150,183.95,696
147,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,WOW! China,3.8,200,Chinese, Rolls, Seafood, Desserts, Shake, Sichuan,,,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,Lavelle Road,12.97309398,77.60033591,"  Recommended (28), Bowl Mania (6), Soup Carnival (8)  ", Crispy Chilli Baby Corn, Chilli Chicken Regular, Indo Chilli Chicken, Chicken Fried Rice In Hot garlic Sauce Regular, Chicken Wrapped Prawn, Chicken Fried Rice With Chilli Chicken, Veggie Noodles In Chilli Garlic Regular, Chicken Fried Rice In Chilli Garlic Sauce Regular, Veggie Rice In Chilli Garlic Sauce Regular, Chicken Darjeeling Steam Momo, Hot Garlic Noodles With Chilli Paneer, Chicken Noodles In Schezwan Sauce Regular, Veg Manchow Soup, Schezwan Rice With Chilli Chicken, Chicken Noodles In Hot Garlic Sauce Regular, Chicken Hakka Noodles Regular, Chilli Garlic Rice With Veg Manchurian, Egg Hakka Noodles Regular, Chicken Manchurian Regular, Chicken Hakka Noodles With Chicken Manchurian,245,275,265,375,259,265,255,245,160,209,285,139,269,265,255,239,235,225,199,195,242.95,108
