Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
41,https://www.zomato.com/bangalore/lassi-shop-1-residency-road-bangalore/order,Lassi Shop,3.1,100,"Fast Food, Burger, Ice Cream, Desserts, Shake, Juices, Beverages"
42,https://www.zomato.com/bangalore/pizza@99-rajajinagar-bangalore/order,Pizza@99,3.2,100,"Pizza, Burger, Fast Food"
43,https://www.zomato.com/bangalore/imperial-restaurant-residency-road/order,Imperial Restaurant,3.9,100,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages"
44,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order,Beijing Bites,4.2,100,"Chinese, Asian, Thai, Seafood, Malaysian"
45,https://www.zomato.com/bangalore/kannur-food-kitchen-btm-bangalore/order,Kannur Food Kitchen,3.7,100,"South Indian, Biryani, Chinese, Arabian, Beverages, Shake"
46,https://www.zomato.com/bangalore/chai-point-church-street-bangalore/order,Chai Point,4,100,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee"
47,https://www.zomato.com/bangalore/california-burrito-cunningham-road/order,California Burrito,4.1,100,"Mexican, Fast Food, Beverages"
48,https://www.zomato.com/bangalore/kwalitywalls-frozen-dessert-and-ice-cream-shop-wilson-garden-bangalore/order,Kwalitywall's Frozen Dessert And Ice Cream Shop,4.4,100,"Ice Cream, Desserts"
49,https://www.zomato.com/bangalore/natural-ice-cream-st-marks-road/order,Natural Ice Cream,4.6,100,"Ice Cream, Beverages, Desserts"
50,https://www.zomato.com/bangalore/rolls-on-wheels-cunningham-road/order,Rolls On Wheels,4.2,100,"Rolls, Fast Food, Chinese"
51,https://www.zomato.com/bangalore/grill-biryanis-1-malleshwaram-bangalore/order,Grill Biryanis,3.7,100,"Biryani, North Indian, Mughlai, Chinese, Sichuan"
52,https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-brigade-road-bangalore/order,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",4.1,100,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food"
53,https://www.zomato.com/bangalore/paakashala-mg-road-bangalore/order,Paakashala,4.2,100,"South Indian, Street Food, Chinese, Fast Food, Ice Cream, Beverages"
54,https://www.zomato.com/bangalore/asha-sweet-center-1-vasanth-nagar-bangalore/order,Asha Sweet Center,4.3,100,Mithai
